month:,year:,state,avg_temp
1,1950,Mississippi,54
2,1950,Mississippi,55.6
3,1950,Mississippi,53.2
4,1950,Mississippi,56.6
5,1950,Mississippi,67
6,1950,Mississippi,76
7,1950,Mississippi,78.3
8,1950,Mississippi,78.2
9,1950,Mississippi,75.4
10,1950,Mississippi,70
11,1950,Mississippi,58.4
12,1950,Mississippi,46
1,1951,Mississippi,44.6
2,1951,Mississippi,48.1
3,1951,Mississippi,52.9
4,1951,Mississippi,59
5,1951,Mississippi,66.5
6,1951,Mississippi,75.2
7,1951,Mississippi,80.2
8,1951,Mississippi,82.7
9,1951,Mississippi,79.9
10,1951,Mississippi,71.1
11,1951,Mississippi,57.6
12,1951,Mississippi,50
1,1952,Mississippi,52.1
2,1952,Mississippi,52.9
3,1952,Mississippi,53.2
4,1952,Mississippi,57.4
5,1952,Mississippi,66.4
6,1952,Mississippi,77
7,1952,Mississippi,82.6
8,1952,Mississippi,82.3
9,1952,Mississippi,77.4
10,1952,Mississippi,65.2
11,1952,Mississippi,54.7
12,1952,Mississippi,49.2
1,1953,Mississippi,48
2,1953,Mississippi,49.6
3,1953,Mississippi,54.6
4,1953,Mississippi,60.7
5,1953,Mississippi,67.6
6,1953,Mississippi,78.4
7,1953,Mississippi,81.8
8,1953,Mississippi,80.1
9,1953,Mississippi,77.1
10,1953,Mississippi,70.4
11,1953,Mississippi,59.3
12,1953,Mississippi,48.4
1,1954,Mississippi,45.8
2,1954,Mississippi,50.4
3,1954,Mississippi,54.2
4,1954,Mississippi,61.4
5,1954,Mississippi,67.4
6,1954,Mississippi,73.5
7,1954,Mississippi,81.8
8,1954,Mississippi,83.8
9,1954,Mississippi,81.1
10,1954,Mississippi,72.1
11,1954,Mississippi,59.2
12,1954,Mississippi,49.2
1,1955,Mississippi,45.3
2,1955,Mississippi,46.6
3,1955,Mississippi,53.9
4,1955,Mississippi,63
5,1955,Mississippi,70.6
6,1955,Mississippi,74.5
7,1955,Mississippi,77.6
8,1955,Mississippi,80.4
9,1955,Mississippi,78.8
10,1955,Mississippi,70.4
11,1955,Mississippi,57.9
12,1955,Mississippi,49.8
1,1956,Mississippi,44.8
2,1956,Mississippi,48
3,1956,Mississippi,54
4,1956,Mississippi,58.6
5,1956,Mississippi,68.4
6,1956,Mississippi,75.6
7,1956,Mississippi,79.1
8,1956,Mississippi,81.2
9,1956,Mississippi,77
10,1956,Mississippi,69.7
11,1956,Mississippi,59.2
12,1956,Mississippi,53.2
1,1957,Mississippi,50.8
2,1957,Mississippi,51.6
3,1957,Mississippi,54.7
4,1957,Mississippi,59.4
5,1957,Mississippi,68.9
6,1957,Mississippi,75.6
7,1957,Mississippi,79.7
8,1957,Mississippi,80
9,1957,Mississippi,76.2
10,1957,Mississippi,66.8
11,1957,Mississippi,57.6
12,1957,Mississippi,52
1,1958,Mississippi,44.9
2,1958,Mississippi,40
3,1958,Mississippi,45
4,1958,Mississippi,56.9
5,1958,Mississippi,67.6
6,1958,Mississippi,74.9
7,1958,Mississippi,79.2
8,1958,Mississippi,79.8
9,1958,Mississippi,77.6
10,1958,Mississippi,69.5
11,1958,Mississippi,59.4
12,1958,Mississippi,49.2
1,1959,Mississippi,42.6
2,1959,Mississippi,46
3,1959,Mississippi,51.4
4,1959,Mississippi,58
5,1959,Mississippi,68.2
6,1959,Mississippi,75.4
7,1959,Mississippi,78.6
8,1959,Mississippi,80.2
9,1959,Mississippi,77.9
10,1959,Mississippi,71
11,1959,Mississippi,58.6
12,1959,Mississippi,48.9
1,1960,Mississippi,45.6
2,1960,Mississippi,43.4
3,1960,Mississippi,44.4
4,1960,Mississippi,55.5
5,1960,Mississippi,67
6,1960,Mississippi,73.8
7,1960,Mississippi,80.4
8,1960,Mississippi,81.2
9,1960,Mississippi,77.6
10,1960,Mississippi,70.4
11,1960,Mississippi,59.8
12,1960,Mississippi,48.2
1,1961,Mississippi,41
2,1961,Mississippi,45.6
3,1961,Mississippi,55
4,1961,Mississippi,59.2
5,1961,Mississippi,64.6
6,1961,Mississippi,72
7,1961,Mississippi,76.6
8,1961,Mississippi,78.2
9,1961,Mississippi,76.3
10,1961,Mississippi,68.6
11,1961,Mississippi,58.2
12,1961,Mississippi,50.4
1,1962,Mississippi,44
2,1962,Mississippi,48.4
3,1962,Mississippi,53.3
4,1962,Mississippi,56.2
5,1962,Mississippi,68.2
6,1962,Mississippi,76.2
7,1962,Mississippi,79.9
8,1962,Mississippi,81.9
9,1962,Mississippi,78.4
10,1962,Mississippi,71.2
11,1962,Mississippi,59.4
12,1962,Mississippi,48
1,1963,Mississippi,41.4
2,1963,Mississippi,40.2
3,1963,Mississippi,50.4
4,1963,Mississippi,63.1
5,1963,Mississippi,70
6,1963,Mississippi,75.9
7,1963,Mississippi,79.4
8,1963,Mississippi,80.2
9,1963,Mississippi,77.2
10,1963,Mississippi,70.8
11,1963,Mississippi,61.1
12,1963,Mississippi,45.8
1,1964,Mississippi,39.9
2,1964,Mississippi,43
3,1964,Mississippi,49
4,1964,Mississippi,60.5
5,1964,Mississippi,69.4
6,1964,Mississippi,75.8
7,1964,Mississippi,79.4
8,1964,Mississippi,79.8
9,1964,Mississippi,77.4
10,1964,Mississippi,67.7
11,1964,Mississippi,58.7
12,1964,Mississippi,52.5
1,1965,Mississippi,47.6
2,1965,Mississippi,46.6
3,1965,Mississippi,47.8
4,1965,Mississippi,58.6
5,1965,Mississippi,70.5
6,1965,Mississippi,75.3
7,1965,Mississippi,79.2
8,1965,Mississippi,80.2
9,1965,Mississippi,77.4
10,1965,Mississippi,69
11,1965,Mississippi,60.7
12,1965,Mississippi,53.4
1,1966,Mississippi,43.8
2,1966,Mississippi,43
3,1966,Mississippi,50.2
4,1966,Mississippi,59.2
5,1966,Mississippi,67.4
6,1966,Mississippi,73.2
7,1966,Mississippi,79.1
8,1966,Mississippi,80.2
9,1966,Mississippi,75.6
10,1966,Mississippi,67
11,1966,Mississippi,58.2
12,1966,Mississippi,50.9
1,1967,Mississippi,45.6
2,1967,Mississippi,44.6
3,1967,Mississippi,51.6
4,1967,Mississippi,64
5,1967,Mississippi,69.1
6,1967,Mississippi,73.7
7,1967,Mississippi,77.6
8,1967,Mississippi,76.7
9,1967,Mississippi,72.9
10,1967,Mississippi,65.6
11,1967,Mississippi,56.6
12,1967,Mississippi,50.7
1,1968,Mississippi,46
2,1968,Mississippi,41.3
3,1968,Mississippi,46.2
4,1968,Mississippi,58.3
5,1968,Mississippi,67.3
6,1968,Mississippi,74.2
7,1968,Mississippi,78.9
8,1968,Mississippi,79.6
9,1968,Mississippi,75.7
10,1968,Mississippi,67.8
11,1968,Mississippi,57.8
12,1968,Mississippi,47.6
1,1969,Mississippi,44.3
2,1969,Mississippi,45.7
3,1969,Mississippi,47.3
4,1969,Mississippi,56.2
5,1969,Mississippi,67.6
6,1969,Mississippi,74.6
7,1969,Mississippi,80.6
8,1969,Mississippi,80.5
9,1969,Mississippi,75.7
10,1969,Mississippi,68.7
11,1969,Mississippi,57.8
12,1969,Mississippi,48.1
1,1970,Mississippi,41.9
2,1970,Mississippi,41.8
3,1970,Mississippi,48.5
4,1970,Mississippi,59.4
5,1970,Mississippi,69
6,1970,Mississippi,74.2
7,1970,Mississippi,78
8,1970,Mississippi,79.6
9,1970,Mississippi,78.9
10,1970,Mississippi,70.4
11,1970,Mississippi,56.5
12,1970,Mississippi,50.2
1,1971,Mississippi,47.8
2,1971,Mississippi,46
3,1971,Mississippi,48.8
4,1971,Mississippi,56.6
5,1971,Mississippi,64.7
6,1971,Mississippi,73.2
7,1971,Mississippi,79.3
8,1971,Mississippi,78.9
9,1971,Mississippi,77
10,1971,Mississippi,72
11,1971,Mississippi,60.4
12,1971,Mississippi,53.6
1,1972,Mississippi,51.6
2,1972,Mississippi,48.3
3,1972,Mississippi,52.1
4,1972,Mississippi,60.3
5,1972,Mississippi,67.3
6,1972,Mississippi,73.6
7,1972,Mississippi,77.8
8,1972,Mississippi,79.4
9,1972,Mississippi,79.4
10,1972,Mississippi,71.4
11,1972,Mississippi,57
12,1972,Mississippi,48.2
1,1973,Mississippi,44.6
2,1973,Mississippi,43.9
3,1973,Mississippi,52.6
4,1973,Mississippi,60.4
5,1973,Mississippi,64.9
6,1973,Mississippi,73.8
7,1973,Mississippi,79.9
8,1973,Mississippi,79.6
9,1973,Mississippi,77.2
10,1973,Mississippi,72.2
11,1973,Mississippi,63.5
12,1973,Mississippi,52.4
1,1974,Mississippi,48.8
2,1974,Mississippi,49.8
3,1974,Mississippi,54.6
4,1974,Mississippi,61.7
5,1974,Mississippi,67.7
6,1974,Mississippi,73.6
7,1974,Mississippi,77.2
8,1974,Mississippi,79.3
9,1974,Mississippi,74.5
10,1974,Mississippi,65.9
11,1974,Mississippi,57.6
12,1974,Mississippi,50.4
1,1975,Mississippi,48.2
2,1975,Mississippi,49.8
3,1975,Mississippi,52.4
4,1975,Mississippi,57.8
5,1975,Mississippi,67.1
6,1975,Mississippi,74.8
7,1975,Mississippi,78.5
8,1975,Mississippi,79.6
9,1975,Mississippi,75
10,1975,Mississippi,67.6
11,1975,Mississippi,59.4
12,1975,Mississippi,50
1,1976,Mississippi,43.7
2,1976,Mississippi,48
3,1976,Mississippi,56.4
4,1976,Mississippi,61.1
5,1976,Mississippi,64.8
6,1976,Mississippi,70.6
7,1976,Mississippi,77.3
8,1976,Mississippi,78.9
9,1976,Mississippi,75.6
10,1976,Mississippi,65.6
11,1976,Mississippi,51.9
12,1976,Mississippi,44.3
1,1977,Mississippi,38.2
2,1977,Mississippi,40.1
3,1977,Mississippi,52.4
4,1977,Mississippi,61.6
5,1977,Mississippi,69.2
6,1977,Mississippi,76.9
7,1977,Mississippi,81.2
8,1977,Mississippi,81.1
9,1977,Mississippi,78.8
10,1977,Mississippi,69.2
11,1977,Mississippi,58.7
12,1977,Mississippi,50.8
1,1978,Mississippi,40.6
2,1978,Mississippi,36.7
3,1978,Mississippi,44.6
4,1978,Mississippi,58
5,1978,Mississippi,67.9
6,1978,Mississippi,74.8
7,1978,Mississippi,80.2
8,1978,Mississippi,81
9,1978,Mississippi,78.5
10,1978,Mississippi,69.7
11,1978,Mississippi,60.8
12,1978,Mississippi,52.9
1,1979,Mississippi,41.8
2,1979,Mississippi,40
3,1979,Mississippi,49.6
4,1979,Mississippi,60.2
5,1979,Mississippi,67
6,1979,Mississippi,73.1
7,1979,Mississippi,78.4
8,1979,Mississippi,79.8
9,1979,Mississippi,76
10,1979,Mississippi,68.4
11,1979,Mississippi,57.5
12,1979,Mississippi,48.2
1,1980,Mississippi,46.1
2,1980,Mississippi,45
3,1980,Mississippi,47.8
4,1980,Mississippi,56.6
5,1980,Mississippi,65.9
6,1980,Mississippi,74.9
7,1980,Mississippi,81.4
8,1980,Mississippi,83.2
9,1980,Mississippi,80.7
10,1980,Mississippi,69.9
11,1980,Mississippi,56.4
12,1980,Mississippi,48.8
1,1981,Mississippi,43
2,1981,Mississippi,44
3,1981,Mississippi,50.5
4,1981,Mississippi,61.1
5,1981,Mississippi,68.7
6,1981,Mississippi,74.4
7,1981,Mississippi,81.2
8,1981,Mississippi,81.2
9,1981,Mississippi,76.2
10,1981,Mississippi,67.6
11,1981,Mississippi,59.6
12,1981,Mississippi,50.2
1,1982,Mississippi,44
2,1982,Mississippi,45
3,1982,Mississippi,52.5
4,1982,Mississippi,60.1
5,1982,Mississippi,67.1
6,1982,Mississippi,75.1
7,1982,Mississippi,79.2
8,1982,Mississippi,80.4
9,1982,Mississippi,76.2
10,1982,Mississippi,68.1
11,1982,Mississippi,59.4
12,1982,Mississippi,53.8
1,1983,Mississippi,47.6
2,1983,Mississippi,44.9
3,1983,Mississippi,49.8
4,1983,Mississippi,55.4
5,1983,Mississippi,63.8
6,1983,Mississippi,72.3
7,1983,Mississippi,78.2
8,1983,Mississippi,81.5
9,1983,Mississippi,77.4
10,1983,Mississippi,68.8
11,1983,Mississippi,59.4
12,1983,Mississippi,47.2
1,1984,Mississippi,39.6
2,1984,Mississippi,44
3,1984,Mississippi,51.8
4,1984,Mississippi,58.3
5,1984,Mississippi,65.9
6,1984,Mississippi,73.8
7,1984,Mississippi,78.4
8,1984,Mississippi,78.6
9,1984,Mississippi,75.4
10,1984,Mississippi,71
11,1984,Mississippi,60.9
12,1984,Mississippi,54.4
1,1985,Mississippi,46.5
2,1985,Mississippi,40.6
3,1985,Mississippi,52.1
4,1985,Mississippi,62.3
5,1985,Mississippi,68
6,1985,Mississippi,74.9
7,1985,Mississippi,79
8,1985,Mississippi,79.4
9,1985,Mississippi,76.4
10,1985,Mississippi,70.6
11,1985,Mississippi,64.2
12,1985,Mississippi,51.4
1,1986,Mississippi,43
2,1986,Mississippi,48.2
3,1986,Mississippi,54
4,1986,Mississippi,59.8
5,1986,Mississippi,68.1
6,1986,Mississippi,75.8
7,1986,Mississippi,81.2
8,1986,Mississippi,81
9,1986,Mississippi,78.4
10,1986,Mississippi,71
11,1986,Mississippi,60.9
12,1986,Mississippi,51.4
1,1987,Mississippi,44.2
2,1987,Mississippi,46.2
3,1987,Mississippi,52.5
4,1987,Mississippi,58.4
5,1987,Mississippi,67.8
6,1987,Mississippi,76.1
7,1987,Mississippi,79.1
8,1987,Mississippi,81.2
9,1987,Mississippi,77.9
10,1987,Mississippi,66.4
11,1987,Mississippi,57.2
12,1987,Mississippi,52.9
1,1988,Mississippi,45.2
2,1988,Mississippi,43
3,1988,Mississippi,50.2
4,1988,Mississippi,59.1
5,1988,Mississippi,66.6
6,1988,Mississippi,73.6
7,1988,Mississippi,78.9
8,1988,Mississippi,80.6
9,1988,Mississippi,78.2
10,1988,Mississippi,67.8
11,1988,Mississippi,58.6
12,1988,Mississippi,52.2
1,1989,Mississippi,48.9
2,1989,Mississippi,48.6
3,1989,Mississippi,51.6
4,1989,Mississippi,59.2
5,1989,Mississippi,65.9
6,1989,Mississippi,73.2
7,1989,Mississippi,77.8
8,1989,Mississippi,79
9,1989,Mississippi,75.8
10,1989,Mississippi,67.8
11,1989,Mississippi,59.2
12,1989,Mississippi,46.7
1,1990,Mississippi,44
2,1990,Mississippi,52.4
3,1990,Mississippi,56.3
4,1990,Mississippi,60
5,1990,Mississippi,66.1
6,1990,Mississippi,74.5
7,1990,Mississippi,79.6
8,1990,Mississippi,80.4
9,1990,Mississippi,78.8
10,1990,Mississippi,69.8
11,1990,Mississippi,59.7
12,1990,Mississippi,53.6
1,1991,Mississippi,47.4
2,1991,Mississippi,47.5
3,1991,Mississippi,53.8
4,1991,Mississippi,61.7
5,1991,Mississippi,69.9
6,1991,Mississippi,76.1
7,1991,Mississippi,79.9
8,1991,Mississippi,80.2
9,1991,Mississippi,76.8
10,1991,Mississippi,69.8
11,1991,Mississippi,57.8
12,1991,Mississippi,50.6
1,1992,Mississippi,47.5
2,1992,Mississippi,48.2
3,1992,Mississippi,53.9
4,1992,Mississippi,59.2
5,1992,Mississippi,66
6,1992,Mississippi,72.8
7,1992,Mississippi,78.4
8,1992,Mississippi,78.4
9,1992,Mississippi,74.9
10,1992,Mississippi,68.4
11,1992,Mississippi,57.6
12,1992,Mississippi,49.8
1,1993,Mississippi,47.8
2,1993,Mississippi,47.4
3,1993,Mississippi,49.7
4,1993,Mississippi,55.8
5,1993,Mississippi,64.2
6,1993,Mississippi,73.8
7,1993,Mississippi,80.3
8,1993,Mississippi,81.9
9,1993,Mississippi,77.9
10,1993,Mississippi,68.6
11,1993,Mississippi,57.3
12,1993,Mississippi,48.8
1,1994,Mississippi,43.6
2,1994,Mississippi,45.3
3,1994,Mississippi,52.6
4,1994,Mississippi,60.7
5,1994,Mississippi,67.5
6,1994,Mississippi,74.2
7,1994,Mississippi,78.8
8,1994,Mississippi,78.4
9,1994,Mississippi,75.4
10,1994,Mississippi,68.8
11,1994,Mississippi,61.5
12,1994,Mississippi,53.9
1,1995,Mississippi,47.9
2,1995,Mississippi,47.2
3,1995,Mississippi,53.2
4,1995,Mississippi,61.1
5,1995,Mississippi,68.4
6,1995,Mississippi,74.4
7,1995,Mississippi,78.6
8,1995,Mississippi,81.9
9,1995,Mississippi,78.3
10,1995,Mississippi,68.9
11,1995,Mississippi,57.2
12,1995,Mississippi,48.1
1,1996,Mississippi,45
2,1996,Mississippi,46.3
3,1996,Mississippi,49.6
4,1996,Mississippi,55.9
5,1996,Mississippi,67.6
6,1996,Mississippi,76
7,1996,Mississippi,79
8,1996,Mississippi,79.5
9,1996,Mississippi,75.7
10,1996,Mississippi,68.4
11,1996,Mississippi,58.9
12,1996,Mississippi,51.9
1,1997,Mississippi,47.6
2,1997,Mississippi,48
3,1997,Mississippi,55.6
4,1997,Mississippi,59.8
5,1997,Mississippi,64
6,1997,Mississippi,72.4
7,1997,Mississippi,78.6
8,1997,Mississippi,79.9
9,1997,Mississippi,77.1
10,1997,Mississippi,69.6
11,1997,Mississippi,57
12,1997,Mississippi,47.6
1,1998,Mississippi,46.8
2,1998,Mississippi,49.3
3,1998,Mississippi,52.4
4,1998,Mississippi,58.6
5,1998,Mississippi,68.2
6,1998,Mississippi,77.8
7,1998,Mississippi,82.2
8,1998,Mississippi,82.2
9,1998,Mississippi,80.1
10,1998,Mississippi,73.2
11,1998,Mississippi,62.8
12,1998,Mississippi,54
1,1999,Mississippi,50
2,1999,Mississippi,51.6
3,1999,Mississippi,53.4
4,1999,Mississippi,60.8
5,1999,Mississippi,69.6
6,1999,Mississippi,74.8
7,1999,Mississippi,80
8,1999,Mississippi,82
9,1999,Mississippi,78.1
10,1999,Mississippi,68.8
11,1999,Mississippi,60.3
12,1999,Mississippi,52.2
1,2000,Mississippi,47.4
2,2000,Mississippi,50.2
3,2000,Mississippi,56.5
4,2000,Mississippi,60.6
5,2000,Mississippi,67.8
6,2000,Mississippi,76.2
7,2000,Mississippi,80.1
8,2000,Mississippi,82.7
9,2000,Mississippi,79.3
10,2000,Mississippi,70.3
11,2000,Mississippi,58.6
12,2000,Mississippi,45.2
1,2001,Mississippi,39.6
2,2001,Mississippi,46.7
3,2001,Mississippi,52.1
4,2001,Mississippi,59.2
5,2001,Mississippi,69.2
6,2001,Mississippi,74.1
7,2001,Mississippi,78.8
8,2001,Mississippi,80.4
9,2001,Mississippi,76.4
10,2001,Mississippi,67
11,2001,Mississippi,59.8
12,2001,Mississippi,54.7
1,2002,Mississippi,49.2
2,2002,Mississippi,46.8
3,2002,Mississippi,50.4
4,2002,Mississippi,60.8
5,2002,Mississippi,68.8
6,2002,Mississippi,74.4
7,2002,Mississippi,79.4
8,2002,Mississippi,80.6
9,2002,Mississippi,78.8
10,2002,Mississippi,72.3
11,2002,Mississippi,59.3
12,2002,Mississippi,49.1
1,2003,Mississippi,43.6
2,2003,Mississippi,43.6
3,2003,Mississippi,51.6
4,2003,Mississippi,60.4
5,2003,Mississippi,68.6
6,2003,Mississippi,74.8
7,2003,Mississippi,78.1
8,2003,Mississippi,80.1
9,2003,Mississippi,77
10,2003,Mississippi,68.9
11,2003,Mississippi,61.6
12,2003,Mississippi,51.8
1,2004,Mississippi,45.1
2,2004,Mississippi,45.4
3,2004,Mississippi,52.5
4,2004,Mississippi,60.9
5,2004,Mississippi,67.4
6,2004,Mississippi,75
7,2004,Mississippi,78.4
8,2004,Mississippi,78.2
9,2004,Mississippi,75.8
10,2004,Mississippi,72.4
11,2004,Mississippi,64.5
12,2004,Mississippi,52.2
1,2005,Mississippi,47.8
2,2005,Mississippi,50.8
3,2005,Mississippi,52.7
4,2005,Mississippi,58.3
5,2005,Mississippi,66.1
6,2005,Mississippi,73.6
7,2005,Mississippi,79.4
8,2005,Mississippi,81.5
9,2005,Mississippi,79.9
10,2005,Mississippi,71
11,2005,Mississippi,60.4
12,2005,Mississippi,50.4
1,2006,Mississippi,47.8
2,2006,Mississippi,48.8
3,2006,Mississippi,51.6
4,2006,Mississippi,62.8
5,2006,Mississippi,70
6,2006,Mississippi,75.1
7,2006,Mississippi,80.3
8,2006,Mississippi,82.5
9,2006,Mississippi,78
10,2006,Mississippi,68.2
11,2006,Mississippi,58.4
12,2006,Mississippi,51.2
1,2007,Mississippi,47.6
2,2007,Mississippi,46.1
3,2007,Mississippi,53.6
4,2007,Mississippi,61.2
5,2007,Mississippi,66.6
6,2007,Mississippi,75.7
7,2007,Mississippi,79.1
8,2007,Mississippi,81.6
9,2007,Mississippi,80.4
10,2007,Mississippi,71.6
11,2007,Mississippi,60.8
12,2007,Mississippi,53.5
1,2008,Mississippi,47.7
2,2008,Mississippi,46.8
3,2008,Mississippi,53.2
4,2008,Mississippi,59.6
5,2008,Mississippi,67
6,2008,Mississippi,75.1
7,2008,Mississippi,80.2
8,2008,Mississippi,79.8
9,2008,Mississippi,76.3
10,2008,Mississippi,68.4
11,2008,Mississippi,57.3
12,2008,Mississippi,50.2
1,2009,Mississippi,46.7
2,2009,Mississippi,47.8
3,2009,Mississippi,54.1
4,2009,Mississippi,60.2
5,2009,Mississippi,67.3
6,2009,Mississippi,76
7,2009,Mississippi,79.8
8,2009,Mississippi,79
9,2009,Mississippi,77.2
10,2009,Mississippi,69.2
11,2009,Mississippi,58.6
12,2009,Mississippi,49.5
1,2010,Mississippi,42.4
2,2010,Mississippi,40.6
3,2010,Mississippi,46.5
4,2010,Mississippi,58.7
5,2010,Mississippi,69.8
6,2010,Mississippi,78.3
7,2010,Mississippi,82.4
8,2010,Mississippi,83.2
9,2010,Mississippi,80.4
10,2010,Mississippi,71
11,2010,Mississippi,60.4
12,2010,Mississippi,49
1,2011,Mississippi,42.2
2,2011,Mississippi,46
3,2011,Mississippi,53.8
4,2011,Mississippi,62.4
5,2011,Mississippi,68.8
6,2011,Mississippi,76.4
7,2011,Mississippi,82.6
8,2011,Mississippi,82.9
9,2011,Mississippi,77.8
10,2011,Mississippi,66.9
11,2011,Mississippi,58.7
12,2011,Mississippi,52
1,2012,Mississippi,49.4
2,2012,Mississippi,51.5
3,2012,Mississippi,58.8
4,2012,Mississippi,65.6
5,2012,Mississippi,70
6,2012,Mississippi,76.2
7,2012,Mississippi,80
8,2012,Mississippi,80.7
9,2012,Mississippi,76.9
10,2012,Mississippi,68.2
11,2012,Mississippi,57
12,2012,Mississippi,51.8
1,2013,Mississippi,50.4
2,2013,Mississippi,49
3,2013,Mississippi,49.7
4,2013,Mississippi,56.2
5,2013,Mississippi,65.5
6,2013,Mississippi,73.9
7,2013,Mississippi,78.9
8,2013,Mississippi,79.2
9,2013,Mississippi,78.3
10,2013,Mississippi,71.2
11,2013,Mississippi,58.2
12,2013,Mississippi,48.9
1,2014,Mississippi,42.6
2,2014,Mississippi,42.4
3,2014,Mississippi,49
4,2014,Mississippi,57.2
5,2014,Mississippi,66.8
6,2014,Mississippi,74.7
7,2014,Mississippi,78
8,2014,Mississippi,78.6
9,2014,Mississippi,78.2
10,2014,Mississippi,71.5
11,2014,Mississippi,57.6
12,2014,Mississippi,49.5
1,2015,Mississippi,47
2,2015,Mississippi,42.8
3,2015,Mississippi,49.8
4,2015,Mississippi,62.4
5,2015,Mississippi,69.6
6,2015,Mississippi,75.8
7,2015,Mississippi,81
8,2015,Mississippi,81.4
9,2015,Mississippi,78.2
10,2015,Mississippi,71.4
11,2015,Mississippi,62.8
12,2015,Mississippi,58
1,2016,Mississippi,50.2
2,2016,Mississippi,47.3
3,2016,Mississippi,55.6
4,2016,Mississippi,62.7
5,2016,Mississippi,67.8
6,2016,Mississippi,75.4
7,2016,Mississippi,81.3
8,2016,Mississippi,82.2
9,2016,Mississippi,80.5
10,2016,Mississippi,74.1
11,2016,Mississippi,63.7
12,2016,Mississippi,53.8
1,2017,Mississippi,51.2
2,2017,Mississippi,55
3,2017,Mississippi,58.6
4,2017,Mississippi,63.7
5,2017,Mississippi,68.7
6,2017,Mississippi,73.4
7,2017,Mississippi,78.9
8,2017,Mississippi,80.2
9,2017,Mississippi,76.9
10,2017,Mississippi,70.4
11,2017,Mississippi,61.5
12,2017,Mississippi,51.9
1,2018,Mississippi,43.6
2,2018,Mississippi,48.5
3,2018,Mississippi,57
4,2018,Mississippi,58
5,2018,Mississippi,67.4
6,2018,Mississippi,78.2
7,2018,Mississippi,81.2
8,2018,Mississippi,81
9,2018,Mississippi,79.6
10,2018,Mississippi,73.2
11,2018,Mississippi,59
12,2018,Mississippi,49.8
1,2019,Mississippi,47.6
2,2019,Mississippi,50.6
3,2019,Mississippi,54.8
4,2019,Mississippi,58.9
5,2019,Mississippi,68.7
6,2019,Mississippi,76.3
7,2019,Mississippi,79.6
8,2019,Mississippi,81.1
9,2019,Mississippi,81.3
10,2019,Mississippi,73.9
11,2019,Mississippi,58.4
12,2019,Mississippi,50.5
1,2020,Mississippi,50.4
2,2020,Mississippi,50.6
3,2020,Mississippi,57.6
4,2020,Mississippi,63.5
5,2020,Mississippi,66.6
6,2020,Mississippi,74.2
7,2020,Mississippi,80.1
8,2020,Mississippi,81.1
9,2020,Mississippi,77.8
10,2020,Mississippi,70.6
11,2020,Mississippi,62.1
12,2020,Mississippi,52.7
1,2021,Mississippi,46.9
2,2021,Mississippi,45.6
3,2021,Mississippi,52.2
4,2021,Mississippi,61
5,2021,Mississippi,66
6,2021,Mississippi,74.1
7,2021,Mississippi,79.4
8,2021,Mississippi,80.8
9,2021,Mississippi,77.9
10,2021,Mississippi,71.7
11,2021,Mississippi,60.8
12,2021,Mississippi,55.9
1,2022,Mississippi,51.7
2,2022,Mississippi,46.8
3,2022,Mississippi,53.3
4,2022,Mississippi,60.8
5,2022,Mississippi,69.7
6,2022,Mississippi,78.3
7,2022,Mississippi,82.2
8,2022,Mississippi,81.6
